task1_id,task1_name,task2_id,task2_name,similarity,auto_approve_candidate
5c6fcda4-7d04-4003-9682-239c943eb06d,Add a category field to the command palette,0a9659ae-91be-4de5-b69e-58182133a0cf,Add a category field to help organize the command palette,0.9319369469578436,False
9440c7fa-0bd6-4312-baa0-21040a4d2e02,Add support for mermaid diagrams,179193c3-3967-407a-b75e-51053846feeb,Add experimental support for mermaid diagrams,0.9259821302692781,False
660e1b42-a0c4-4023-b2e5-8137a9ce244f,Log error messages on healthz check failure,cec9be3e-1694-4e6c-9d98-71614c0a0c8f,Log even more error messages on healthz check failure,0.9249530206277398,False
d10e5502-6d0c-48bc-b160-dfea07ea1c14,Update dependency vite to v6.2.5 [SECURITY],4d7ae212-561b-4cff-9754-a5548079d55f,Update dependency vite to v6.2.6 [SECURITY] - autoclosed,0.9237860978701726,False
38ff107a-2c37-41d4-b01d-11056ab4d84f,Heartbeat monitor client,cb826f37-3c2b-47f1-8335-8d3d7673ed7d,Heartbeat monitor server,0.922228997921311,False
87012a7c-fd17-49ad-acf3-ae3b3ae5897f,Make task name editable from the detail panel,3129457b-5ba1-411e-b0d9-1fc7cc3d5b56,Allow task name to be edited using the detail panel,0.914842478900046,False
fa9c9f5d-5adf-4649-ab3f-8e0c85cb5b29,Install rust toolchain,c484778f-b0e4-4168-aea1-b8e4a83c7068,Install rust toolchain if not installed,0.9140070435617469,False
4d7ae212-561b-4cff-9754-a5548079d55f,Update dependency vite to v6.2.6 [SECURITY] - autoclosed,0RyPdL6aTUaxD8p6asaKoA,Update dependency vite to v5.4.19 [SECURITY] - autoclosed,0.9053775651416414,False
06a0671c-b7b9-448a-aff7-badcf5beee5d,Update dependency vite to v6.3.4 [SECURITY],4d7ae212-561b-4cff-9754-a5548079d55f,Update dependency vite to v6.2.6 [SECURITY] - autoclosed,0.9030962063449384,False
A_82zD2mQFG_5YHy_w9dAw,Bump mode-watcher,f4f98180-d216-4889-aa4c-ba1c4bf6802d,Bump mode-watcher to 1.0.0,0.9009760248997526,False
bc93ab1f-170e-49eb-8006-bf683800655a,circular-progress-status,17eebd97-1408-4ef8-a09f-5dd6274b6a70,circular-progress,0.8905780709436429,False
hnUA6c9CRReXgIszK2Cqsg,Let pnpm manage node version,72c88549-bd75-4450-84d9-7e8603379ecc,Use pnpm to manage its own versions,0.8819137482098542,False
aa2b924f-1645-4594-9bd2-e05ea1486a1f,Migrate back to shadcn-svelte,03cdace8-632f-4d31-bf67-88b5b703d985,Migrate to updated version of shadcn-svelte,0.8818637520114403,False
1488820e-5f7a-4ce9-9db6-f70488fc3ed9,Refactor Kosui menu component to use a Svelte context,3e3d349d-9256-4ff3-a2f7-bda50ee68388,Refactor Kosui autocomplete component to use a Svelte context,0.8735574260002745,False
1488820e-5f7a-4ce9-9db6-f70488fc3ed9,Refactor Kosui menu component to use a Svelte context,b6bd4949-0a40-4c4a-9b16-fc86170cfb19,Refactor Menu to use a Svelte context,0.866557773259998,False
69a2299a-75b6-4c0b-bd9f-8668a195c82c,Add support for mapping a repository/install to multiple projects,dd354c0c-a45c-4eb4-9c69-340476ea275f,Add support for mapping certain repositories to certain projects,0.8628980783464398,False
856e1ba7-a7c5-40b9-9c5c-6ad0cbf986e1,Video of multiple people planning in Koso,6d64ada7-fbd7-4690-8efa-c6dcde9a9b7a,Video of a plan being made in Koso,0.8616219515267254,False
j8X_lkiYR--9Ole7fuyG2g,Cleanup debug log,byFm-lpxQsiz6uJWeDbFqw,Remove debug log,0.8606372729606755,False
ec7518b8-8cf3-40c1-9466-77f45feee4c8,Add a tooltip for managed tasks,f0d27b90-70d7-4177-831c-0d0480310970,Add a different action tooltip message for managed tasks,0.8554517202904139,False
2dfa8971-6e25-491e-b598-23f4c7878e6a,Implement workflow: block on -> new task -> assign to someone else,ad27ae9b-ee09-43a0-83b1-3858b6a60f2f,koso-925: Implement workflow: block on -> new task -> assign to someone else,0.8541583202344376,False
034026d2-2269-40d0-80bd-db1fe77604ec,Includ rollup tasks with unassigned children,3d5499e0-ee00-45f5-bcd0-6f64e9b35a5f,Show unassigned children of assigned rollup tasks,0.8530066343147065,False
a1302692-0ce0-4a2c-8b2f-01bab5a8f637,Limit the number of connected clients  globally,7a60509f-18b1-420f-bfa9-f597e01b4973,Limit the number of connected clients for a given project,0.8518860504437429,False
4e00a4e7-8cd6-4ed2-85de-5f2e05cf7726,Create a context menu for each task,1651b217-b3b3-4fd6-87dc-1c5126c8ae04,Add action / context menu to tasks,0.8518765714038576,False
41c0410a-7a21-48d8-8950-4b0d68ed9376,⌥+⇧+Down should move task to the bottom,432d2b99-fad5-49db-8bb7-4a7df54b6827,⌥+⇧+Up should move task to top,0.8503317994000094,False
